site,topic,n
darulifta-deoband.com,quran,139
darulifta-deoband.com,hadith,82
darulifta-deoband.com,faiths/beliefs,397
darulifta-deoband.com,prayers/duties,4413
darulifta-deoband.com,family/women,1291
darulifta-deoband.com,financial issues,1083
darulifta-deoband.com,society/politics,1065
eShaykh.com,quran,155
eShaykh.com,hadith,558
eShaykh.com,faiths/beliefs,8803
eShaykh.com,prayers/duties,5066
eShaykh.com,family/women,3321
eShaykh.com,financial issues,61
eShaykh.com,society/politics,1165
AboutIslam.net,quran,35
AboutIslam.net,hadith,8
AboutIslam.net,faiths/beliefs,236
AboutIslam.net,prayers/duties,696
AboutIslam.net,family/women,358
AboutIslam.net,financial issues,229
AboutIslam.net,society/politics,156
sistani.org,quran,8
sistani.org,hadith,0
sistani.org,faiths/beliefs,89
sistani.org,prayers/duties,283
sistani.org,family/women,183
sistani.org,financial issues,96
sistani.org,society/politics,124
islamweb.net,quran,967
islamweb.net,hadith,1253
islamweb.net,faiths/beliefs,7350
islamweb.net,prayers/duties,6417
islamweb.net,family/women,5326
islamweb.net,financial issues,3570
islamweb.net,society/politics,1595
islamQA.info,quran,294
islamQA.info,hadith,413
islamQA.info,faiths/beliefs,1968
islamQA.info,prayers/duties,9529
islamQA.info,family/women,1756
islamQA.info,financial issues,0
islamQA.info,society/politics,2668
